date,World Cup Qualif,Team_home,Team_away,Goals_home,Goals_away
2011-11-11,2014,Argentina,Bolivia,1.0,1.0
2011-11-11,2014,Uruguay,Chile,4.0,0.0
2011-11-11,2014,Colombia,Venezuela,1.0,1.0
2011-11-11,2014,Paraguay,Ecuador,2.0,1.0
2011-11-15,2014,Colombia,Argentina,1.0,2.0
2011-11-15,2014,Ecuador,Peru,2.0,0.0
2011-11-15,2014,Chile,Paraguay,2.0,0.0
2011-11-15,2014,Venezuela,Bolivia,1.0,0.0
2012-06-02,2014,Uruguay,Venezuela,1.0,1.0
2012-06-02,2014,Bolivia,Chile,0.0,2.0
2012-06-02,2014,Argentina,Ecuador,4.0,0.0
2012-06-03,2014,Peru,Colombia,0.0,1.0
2012-06-09,2014,Bolivia,Paraguay,3.0,1.0
2012-06-09,2014,Venezuela,Chile,0.0,2.0
2012-06-10,2014,Uruguay,Peru,4.0,2.0
2012-06-10,2014,Ecuador,Colombia,1.0,0.0
2012-09-07,2014,Colombia,Uruguay,4.0,0.0
2012-09-07,2014,Ecuador,Bolivia,1.0,0.0
2012-09-07,2014,Argentina,Paraguay,3.0,1.0
2012-09-07,2014,Peru,Venezuela,2.0,1.0
2012-09-11,2014,Chile,Colombia,1.0,3.0
2012-09-11,2014,Uruguay,Ecuador,1.0,1.0
2012-09-11,2014,Paraguay,Venezuela,0.0,2.0
2012-09-11,2014,Peru,Argentina,1.0,1.0
2012-10-12,2014,Bolivia,Peru,1.0,1.0
2012-10-12,2014,Colombia,Paraguay,2.0,0.0
2012-10-12,2014,Ecuador,Chile,3.0,1.0
2012-10-12,2014,Argentina,Uruguay,3.0,0.0
2012-10-16,2014,Bolivia,Uruguay,4.0,1.0
2012-10-16,2014,Venezuela,Ecuador,1.0,1.0
2012-10-16,2014,Paraguay,Peru,1.0,0.0
2012-10-16,2014,Chile,Argentina,1.0,2.0
2013-03-22,2014,Colombia,Bolivia,5.0,0.0
2013-03-22,2014,Uruguay,Paraguay,1.0,1.0
2013-03-22,2014,Argentina,Venezuela,3.0,0.0
2013-03-22,2014,Peru,Chile,1.0,0.0
2013-03-26,2014,Bolivia,Argentina,1.0,1.0
2013-03-26,2014,Ecuador,Paraguay,4.0,1.0
2013-03-26,2014,Chile,Uruguay,2.0,0.0
2013-03-26,2014,Venezuela,Colombia,1.0,0.0
2013-06-07,2014,Bolivia,Venezuela,1.0,1.0
2013-06-07,2014,Argentina,Colombia,0.0,0.0
2013-06-07,2014,Paraguay,Chile,1.0,2.0
2013-06-07,2014,Peru,Ecuador,1.0,0.0
2013-06-11,2014,Colombia,Peru,2.0,0.0
2013-06-11,2014,Ecuador,Argentina,1.0,1.0
2013-06-11,2014,Venezuela,Uruguay,0.0,1.0
2013-06-11,2014,Chile,Bolivia,3.0,1.0
2013-09-06,2014,Colombia,Ecuador,1.0,0.0
2013-09-06,2014,Paraguay,Bolivia,4.0,0.0
2013-09-06,2014,Chile,Venezuela,3.0,0.0
2013-09-06,2014,Peru,Uruguay,1.0,2.0
2013-09-10,2014,Bolivia,Ecuador,1.0,1.0
2013-09-10,2014,Uruguay,Colombia,2.0,0.0
2013-09-10,2014,Venezuela,Peru,3.0,2.0
2013-09-10,2014,Paraguay,Argentina,2.0,5.0
2013-10-11,2014,Colombia,Chile,3.0,3.0
